Airline,Origin,mean
"Commutair Aka Champlain Enterprises, Inc.",PVD,23.75751503006012
"Commutair Aka Champlain Enterprises, Inc.",PWM,20.411439114391143
"Commutair Aka Champlain Enterprises, Inc.",RIC,19.7742782152231
"Commutair Aka Champlain Enterprises, Inc.",ROA,18.726872246696036
"Commutair Aka Champlain Enterprises, Inc.",ROC,20.880976602238047
"Commutair Aka Champlain Enterprises, Inc.",SAV,19.845794392523363
"Commutair Aka Champlain Enterprises, Inc.",SBN,20.736842105263158
"Commutair Aka Champlain Enterprises, Inc.",SCE,14.516483516483516
"Commutair Aka Champlain Enterprises, Inc.",SDF,18.99227799227799
"Commutair Aka Champlain Enterprises, Inc.",STL,19.501050420168067
"Commutair Aka Champlain Enterprises, Inc.",SYR,25.55204081632653
"Commutair Aka Champlain Enterprises, Inc.",TYS,15.892215568862275
